Station Name,Station Id,State Name,Elevation,Latitude,Longitude,County Name,Start Date,End Date,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name
Baker Butte,308,ARIZONA,7363,34.45654,-111.40651,Coconino,10/1/65,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020302,East Verde River,1.50602E+11,Pine Creek
Baker Butte Smt,1140,ARIZONA,7752,34.45552,-111.38262,Coconino,5/18/09,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060203,Lower Verde,1506020301,West Clear Creek,1.50602E+11,Toms Creek
Baldy,310,ARIZONA,9221,33.97845,-109.50357,Apache,11/1/49,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020001,Little Colorado Headwaters,1502000102,South Fork Little Colorado River-Little Colorado River,1.502E+11,Hall Creek-Little Colorado River
Bar M,1212,ARIZONA,6397,34.86142,-111.60497,Coconino,9/6/12,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020206,Beaver Creek,1.50602E+11,Bar M Canyon
Beaver Head,902,ARIZONA,8076,33.69115,-109.21685,Greenlee,10/1/93,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,1.50601E+11,Upper Beaver Creek
Beaver Spring,1143,ARIZONA,9255,36.32671,-109.05702,Apache,10/1/09,1/1/00,14,Upper Colorado Region,1408,San Juan,140802,Lower San Juan,14080204,Chinle,1408020404,Canyon del Muerto,1.40802E+11,Tsaile Creek-Tsaile Lake
Chalender,1139,ARIZONA,7035,35.26238,-112.06221,Coconino,5/15/09,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020203,Sycamore Creek,1.50602E+11,Pitman Valley-Scholz Lake
Coronado Trail,416,ARIZONA,8418,33.80418,-109.15352,Apache,10/1/78,1/1/00,15,Lower Colorado Region,1504,Upper Gila,150400,Upper Gila,15040004,San Francisco,1504000405,Upper Blue River,1.504E+11,Coleman Creek
Fort Valley,1121,ARIZONA,7371,35.26773,-111.74479,Coconino,6/26/08,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020015,Canyon Diablo,1502001501,Rio de Flag,1.502E+11,Upper Rio de Flag
Fry,488,ARIZONA,7236,35.07356,-111.84477,Coconino,10/1/78,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020205,Oak Creek,1.50602E+11,Fry Canyon
Hannagan Meadows,511,ARIZONA,9027,33.65352,-109.30877,Greenlee,10/1/56,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,1.50601E+11,Upper Beaver Creek
Happy Jack,969,ARIZONA,7539,34.74594,-111.41219,Coconino,6/1/99,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020206,Beaver Creek,1.50602E+11,Brady Canyon
Hawley Lake,1271,ARIZONA,8314,33.97121,-109.76531,Apache,9/18/15,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060102,White,1506010201,Upper North Fork White River,1.50601E+11,Trout Creek
Heber,519,ARIZONA,7654,34.31254,-110.75433,Coconino,10/1/53,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020010,Chevelon Canyon,1502001002,Black Canyon,1.502E+11,West Fork Black Canyon
Maverick Fork,617,ARIZONA,9220,33.92123,-109.45872,Apache,10/1/53,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,1.50601E+11,Upper West Fork Black River
Mormon Mountain,640,ARIZONA,7500,34.94141,-111.51864,Coconino,1/1/63,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020015,Canyon Diablo,1502001502,Walnut Creek,1.502E+11,Mormon Lake
Mormon Mtn Summit,1125,ARIZONA,8462,34.96942,-111.50868,Coconino,6/2/08,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020015,Canyon Diablo,1502001502,Walnut Creek,1.502E+11,Walnut Creek-Upper Lake Mary
Nutrioso,1127,ARIZONA,8571,33.89791,-109.15465,Apache,6/2/08,1/1/00,15,Lower Colorado Region,1504,Upper Gila,150400,Upper Gila,15040004,San Francisco,1504000403,Centerfire Creek-San Francisco River,1.504E+11,San Francisco River-Luna Lake
Promontory,705,ARIZONA,7942,34.36848,-111.01088,Coconino,10/1/79,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020008,Middle Little Colorado,1502000803,Upper Clear Creek,1.502E+11,Upper Willow Creek
Snowslide Canyon,927,ARIZONA,9744,35.34179,-111.65084,Coconino,9/1/97,1/1/00,15,Lower Colorado Region,1502,Little Colorado,150200,Little Colorado,15020016,Lower Little Colorado,1502001602,Deadman Wash,1.502E+11,Bear Jaw Canyon
White Horse Lake,861,ARIZONA,7203,35.14189,-112.14966,Coconino,11/1/70,1/1/00,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020202,Hell Canyon,1.50602E+11,Upper Hell Canyon
Wildcat,866,ARIZONA,7868,33.74347,-109.48078,Apache,10/1/83,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,1.50601E+11,Centerfire Creek
Workman Creek,877,ARIZONA,7032,33.81259,-110.91852,Gila,12/1/38,1/1/00,15,Lower Colorado Region,1506,Salt,150601,Salt,15060103,Upper Salt,1506010308,Salome Creek,1.50601E+11,Workman Creek